0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.296913574548340387e-01,6.849904211398476217e-02,1.143182555756847019e-01,9.783087285067362804e-02,2.661436174411697220e+00,0.000000000000000000e+00,6.325871320912351825e-02,1.819829077800468042e-01,5.699754778304507580e-02,0.000000000000000000e+00
5.309483344807201632e+00,1.392785580348364638e-01,1.328079164183748329e-01,2.465594098230237119e-01,4.017264168812455516e-01,3.544148806229167059e-01,4.712682660554542435e-01,3.228686583033954505e-01,3.483594190883845254e-01,3.820283332400676857e-01
1.011815517927100316e+01,2.920041522371686349e-01,3.387742217864475047e-01,7.306478890260521553e-01,9.383288951485784235e-01,9.062688206731451812e-01,8.553175735845690575e-01,7.246783176648247116e-01,5.824853778023262318e-01,6.125819953985383037e-01
1.622670814692454755e+01,7.569594165612006931e-01,4.783789002467924156e-01,6.752741858263331398e-01,6.926749430332911350e-01,1.077937257484589795e+00,1.018754859892522902e+00,6.424040542922245800e-01,1.063522289191293657e+00,1.630882962754543586e+00
2.105967145551167263e+01,1.086139378742903006e+00,7.575712006934682829e-01,8.536267154159495885e-01,1.144117062124646367e+00,1.090487485500816645e+00,1.522028987708806458e+00,1.041414878532918253e+00,1.093933011588938742e+00,2.065015242455173095e+00
8.070538545525499652e-01,1.062128039792240131e+00,1.213255499447628116e+00,8.164439789828110694e-01,9.113349220224261638e-01,1.532193096886550698e+00,1.560134919631353201e+00,1.621308758791175419e+00,1.328486474642673443e+00,5.713239734073261644e+01
2.860236667095521046e+00,3.351225954394310591e+00,3.843984692662379743e+00,4.522747091256932528e+00,5.386819399900394600e+00,6.004751079166970484e+00,5.775434549978859522e+00,6.393654756647469739e+00,2.118901136564435319e+02,7.216955656999417101e+00
3.135311160492566529e+01,1.041097654226373015e+00,1.429185345727699064e+00,1.104590683118765959e+00,1.824907482216782562e+00,1.376283338148805768e+00,1.620347949638301532e+00,1.512119815966825653e+00,2.215577077542700390e+00,1.792485187114888356e+00
1.913613670033605274e+00,1.886412624715802178e+00,5.993691535556568084e+01,2.296690767656093257e+00,2.078191236275860998e+00,2.868817631573153282e+00,2.749696950132993756e+00,3.175648301606958324e+00,2.729204436364173425e+00,3.803245316761475259e+00
